# Reference library (divisor): mut
# Comparison library (numerator): wt
Orientation of counted reads relative to the strand location of the annotation	Sequence name	Source	Feature	Start	End	Score	Strand	Frame	Attributes	mut_R1 raw countings	mut_R2 raw countings	wt_R1 raw countings	wt_R2 raw countings	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
sense	NC_003901.1	Protein Homology	CDS	12748	13155	.	+	0	ID=cds-WP_011031966.1;Parent=gene-MM_RS00050;Dbxref=GenBank:WP_011031966.1,GeneID:1478353;Name=WP_011031966.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015412933.1;locus_tag=MM_RS00050;product=DUF1699 family protein;protein_id=WP_011031966.1;transl_table=11	2340.1666666666665	3037.4833333333336	1246.5833333333335	1582.25	1932.69051350983	-0.0916727131910328	0.153350178403727	-0.597799847025185	0.549973492763508	0.765351025164597
sense	NC_003901.1	GeneMarkS-2+	CDS	13767	13943	.	+	0	ID=cds-WP_015410796.1;Parent=gene-MM_RS18145;Dbxref=GenBank:WP_015410796.1,GeneID:43445777;Name=WP_015410796.1;gbkey=CDS;inference=COORDINATES: ab initio prediction:GeneMarkS-2+;locus_tag=MM_RS18145;product=molecular chaperone DnaJ;protein_id=WP_015410796.1;transl_table=11	8.5	14.0	4.0	9.0	8.03124011879804	0.00904688284913942	0.304383446031954	0.029721993646756	0.976288771275377	NA
sense	NC_003901.1	Protein Homology	CDS	14436	14801	.	+	0	ID=cds-WP_011031967.1;Parent=gene-MM_RS00055;Dbxref=GenBank:WP_011031967.1,GeneID:1478354;Name=WP_011031967.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011031967.1;locus_tag=MM_RS00055;product=DUF1428 domain-containing protein;protein_id=WP_011031967.1;transl_table=11	13.0	25.0	9.0	17.0	15.07699885809	0.124331525171205	0.322658265780135	0.385335007211396	0.699989228231655	NA
sense	NC_003901.1	Protein Homology	CDS	15146	15637	.	+	0	ID=cds-WP_011031968.1;Parent=gene-MM_RS00060;Dbxref=GenBank:WP_011031968.1,GeneID:1478355;Name=WP_011031968.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011031968.1;locus_tag=MM_RS00060;product=hypothetical protein;protein_id=WP_011031968.1;transl_table=11	125.0	181.0	83.0	133.0	125.867081954996	0.257631105878104	0.2280391879536	1.12976680977537	0.258574497048503	0.512195293431237
sense	NC_003901.1	Protein Homology	CDS	15934	16548	.	+	0	ID=cds-WP_226987774.1;Parent=gene-MM_RS00065;Dbxref=GenBank:WP_226987774.1,GeneID:24771896;Name=WP_226987774.1;gbkey=CDS;inference=COORDINATES: protein motif:HMM:NF013424.5;locus_tag=MM_RS00065;product=undecaprenyl diphosphate synthase family protein;protein_id=WP_226987774.1;transl_table=11	62.642857142857146	111.33333333333334	39.0	77.0	68.0912746761555	0.163840509572709	0.271199958947604	0.604131763915063	0.545756042902747	0.76303528758339
sense	NC_003901.1	Protein Homology	CDS	16763	17350	.	-	0	ID=cds-WP_015410800.1;Parent=gene-MM_RS00070;Dbxref=GenBank:WP_015410800.1,GeneID:1478357;Name=WP_015410800.1;Ontology_term=GO:0008168,GO:1904047;gbkey=CDS;go_function=methyltransferase activity|0008168||IEA,S-adenosyl-L-methionine binding|1904047||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015410800.1;locus_tag=MM_RS00070;product=class I SAM-dependent methyltransferase;protein_id=WP_015410800.1;transl_table=11	54.0	45.0	36.0	37.0	43.6697785684862	0.251882253324059	0.301095905519837	0.836551572792692	0.40284467618622	NA
sense	NC_003901.1	Protein Homology	CDS	17606	17794	.	+	0	ID=cds-WP_015410801.1;Parent=gene-MM_RS00075;Dbxref=GenBank:WP_015410801.1,GeneID:24771897;Name=WP_015410801.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015410801.1;locus_tag=MM_RS00075;product=CxxC-x17-CxxC domain-containing protein;protein_id=WP_015410801.1;transl_table=11	651.5	878.0	209.5	394.5	474.35295387554	-0.519092063131741	0.173505293978675	-2.99179380195478	0.00277343522047535	0.0228395925946795
sense	NC_003901.1	Protein Homology	CDS	18338	18520	.	+	0	ID=cds-WP_015410803.1;Parent=gene-MM_RS00080;Dbxref=GenBank:WP_015410803.1,GeneID:24771898;Name=WP_015410803.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011307332.1;locus_tag=MM_RS00080;product=CxxC-x17-CxxC domain-containing protein;protein_id=WP_015410803.1;transl_table=11	430.0	505.0	134.0	169.5	275.287773177447	-0.723662847675043	0.197294307984226	-3.66793576088826	0.000244516594699194	0.003337134933289
sense	NC_003901.1	Protein Homology	CDS	18763	19098	.	+	0	ID=cds-WP_080503005.1;Parent=gene-MM_RS17630;Dbxref=GenBank:WP_080503005.1,GeneID:31474366;Name=WP_080503005.1;Ontology_term=GO:0006413,GO:0003743;gbkey=CDS;gene=eif1A;go_function=translation initiation factor activity|0003743||IEA;go_process=translational initiation|0006413||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015324693.1;locus_tag=MM_RS17630;product=translation initiation factor eIF-1A;protein_id=WP_080503005.1;transl_table=11	49.0	78.0	29.0	29.0	42.9042824899883	-0.18551253225229	0.298411294735967	-0.621667261007766	0.534160683418675	NA
sense	NC_003901.1	Protein Homology	CDS	19760	20581	.	-	0	ID=cds-WP_011031972.1;Parent=gene-MM_RS00090;Dbxref=GenBank:WP_011031972.1,GeneID:1478359;Name=WP_011031972.1;Ontology_term=GO:0008168,GO:1904047;gbkey=CDS;go_function=methyltransferase activity|0008168||IEA,S-adenosyl-L-methionine binding|1904047||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011031972.1;locus_tag=MM_RS00090;product=class I SAM-dependent methyltransferase;protein_id=WP_011031972.1;transl_table=11	250.5	445.0	114.0	199.0	225.911454050081	-0.297908362760748	0.208703775744803	-1.42742200852667	0.153458290788374	0.377413918207956
sense	NC_003901.1	Protein Homology	CDS	21940	22137	.	+	0	ID=cds-WP_015410804.1;Parent=gene-MM_RS00095;Dbxref=GenBank:WP_015410804.1,GeneID:24771899;Name=WP_015410804.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015410804.1;locus_tag=MM_RS00095;product=CxxC-x17-CxxC domain-containing protein;protein_id=WP_015410804.1;transl_table=11	151.0	225.0	94.0	163.0	151.095890836279	0.215546747140666	0.218933376677957	0.984531232337988	0.324854382809904	0.581620559031742
sense	NC_003901.1	Protein Homology	CDS	22682	23977	.	-	0	ID=cds-WP_011031974.1;Parent=gene-MM_RS00105;Dbxref=GenBank:WP_011031974.1,GeneID:1478361;Name=WP_011031974.1;Ontology_term=GO:0005524;gbkey=CDS;go_function=ATP binding|0005524||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011031974.1;locus_tag=MM_RS00105;product=ATP-binding protein;protein_id=WP_011031974.1;transl_table=11	799.5	915.0	555.0	649.0	722.687845988435	0.290707792532215	0.178013689589866	1.6330642502944	0.102455484400907	0.296061722816537
sense	NC_003901.1	Protein Homology	CDS	24297	25382	.	-	0	ID=cds-WP_015410806.1;Parent=gene-MM_RS00110;Dbxref=GenBank:WP_015410806.1,GeneID:1478362;Name=WP_015410806.1;Ontology_term=GO:0005515;gbkey=CDS;go_function=protein binding|0005515||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015410806.1;locus_tag=MM_RS00110;product=HEAT repeat domain-containing protein;protein_id=WP_015410806.1;transl_table=11	73.25	66.25	33.25	45.0	52.0551326806909	-0.037251519168607	0.288466765158112	-0.129136259936874	0.897249830926354	0.948073387668005
sense	NC_003901.1	Protein Homology	CDS	26001	26186	.	+	0	ID=cds-WP_015410807.1;Parent=gene-MM_RS00115;Dbxref=GenBank:WP_015410807.1,GeneID:1478363;Name=WP_015410807.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015410807.1;locus_tag=MM_RS00115;product=CxxC-x17-CxxC domain-containing protein;protein_id=WP_015410807.1;transl_table=11	66.0	79.33333333333333	49.25	77.0	67.7144297154168	0.459900845922334	0.266913693617075	1.72303203964547	0.0848827312241437	0.260839428825143
sense	NC_003901.1	Protein Homology	CDS	26685	26957	.	+	0	ID=cds-WP_011031977.1;Parent=gene-MM_RS00120;Dbxref=GenBank:WP_011031977.1,GeneID:1478364;Name=WP_011031977.1;Ontology_term=GO:0110001;gbkey=CDS;go_component=toxin-antitoxin complex|0110001||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011031977.1;locus_tag=MM_RS00120;product=type II toxin-antitoxin system HicB family antitoxin;protein_id=WP_011031977.1;transl_table=11	486.7	625.0	277.0	358.5	415.922106535644	0.0123174686745375	0.178129378568576	0.0691490015488686	0.944871016747265	0.971273179876749
sense	NC_003901.1	Protein Homology	CDS	26958	27182	.	+	0	ID=cds-WP_011031978.1;Parent=gene-MM_RS00125;Dbxref=GenBank:WP_011031978.1,GeneID:1478365;Name=WP_011031978.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011031986.1;locus_tag=MM_RS00125;product=type II toxin-antitoxin system HicA family toxin;protein_id=WP_011031978.1;transl_table=11	12.0	16.5	11.5	9.5	12.8000992402341	0.222816217932486	0.319850988620418	0.696625071860922	0.486037461203364	NA
sense	NC_003901.1	Protein Homology	CDS	27390	27710	.	+	0	ID=cds-WP_226987653.1;Parent=gene-MM_RS00130;Dbxref=GenBank:WP_226987653.1,GeneID:1478366;Name=WP_226987653.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011022118.1;locus_tag=MM_RS00130;product=hypothetical protein;protein_id=WP_226987653.1;transl_table=11	126.0	131.0	60.0	108.0	101.877131677696	0.122961807183191	0.246322414538283	0.499190491509577	0.617645192502573	0.813129311368439
sense	NC_003901.1	Protein Homology	CDS	27707	28066	.	+	0	ID=cds-WP_011031980.1;Parent=gene-MM_RS00135;Dbxref=GenBank:WP_011031980.1,GeneID:1478367;Name=WP_011031980.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011031980.1;locus_tag=MM_RS00135;product=toxin-antitoxin system TumE family protein;protein_id=WP_011031980.1;transl_table=11	40.0	67.0	27.0	41.0	41.5147427608785	0.116851425917828	0.296543264086676	0.394045119445619	0.693547727988247	NA
sense	NC_003901.1	GeneMarkS-2+	CDS	28373	28522	.	-	0	ID=cds-WP_226987654.1;Parent=gene-MM_RS19055;Dbxref=GenBank:WP_226987654.1,GeneID:68225789;Name=WP_226987654.1;gbkey=CDS;inference=COORDINATES: ab initio prediction:GeneMarkS-2+;locus_tag=MM_RS19055;product=hypothetical protein;protein_id=WP_226987654.1;transl_table=11	43.0	62.0	26.0	49.0	43.0562540654579	0.213006975728592	0.294104577092621	0.724255901877755	0.468908644570866	NA
sense	NC_003901.1	Protein Homology	CDS	28927	29472	.	-	0	ID=cds-WP_011031981.1;Parent=gene-MM_RS00145;Dbxref=GenBank:WP_011031981.1,GeneID:1478368;Name=WP_011031981.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011031981.1;locus_tag=MM_RS00145;product=DUF6398 domain-containing protein;protein_id=WP_011031981.1;transl_table=11	65.5	86.0	28.0	66.0	57.241970490699	0.04596626023555	0.281475641422831	0.163304575853154	0.870278631258622	0.939596732105137
sense	NC_003901.1	Protein Homology	CDS	29820	30167	.	-	0	ID=cds-WP_011031982.1;Parent=gene-MM_RS00150;Dbxref=GenBank:WP_011031982.1,GeneID:1478369;Name=WP_011031982.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011031982.1;locus_tag=MM_RS00150;product=hypothetical protein;protein_id=WP_011031982.1;transl_table=11	55.0	72.0	26.0	38.5	44.3708122590981	-0.130615103529023	0.292306754407224	-0.446842577394084	0.654988726911423	NA
sense	NC_003901.1	Protein Homology	CDS	30530	33127	.	+	0	ID=cds-WP_011031983.1;Parent=gene-MM_RS00155;Dbxref=GenBank:WP_011031983.1,GeneID:1478370;Name=WP_011031983.1;Ontology_term=GO:0005524;gbkey=CDS;go_function=ATP binding|0005524||IEA;inference=COORDINATES: protein motif:HMM:NF024642.5;locus_tag=MM_RS00155;product=UvrD-helicase domain-containing protein;protein_id=WP_011031983.1;transl_table=11	216.0	239.0	102.0	193.5	178.961511012997	0.121700278451823	0.215605571499105	0.564457947935396	0.572442511370581	0.783101355554955
sense	NC_003901.1	GeneMarkS-2+	CDS	33708	34109	.	+	0	ID=cds-WP_011031984.1;Parent=gene-MM_RS00160;Dbxref=GenBank:WP_011031984.1,GeneID:1478371;Name=WP_011031984.1;gbkey=CDS;inference=COORDINATES: ab initio prediction:GeneMarkS-2+;locus_tag=MM_RS00160;product=hypothetical protein;protein_id=WP_011031984.1;transl_table=11	36.0	37.0	22.0	25.0	29.5037044232285	0.110851781275504	0.31307461098884	0.354074643502329	0.723282944286046	NA
sense	NC_003901.1	Protein Homology	CDS	34526	35647	.	-	0	ID=cds-WP_011031985.1;Parent=gene-MM_RS00165;Dbxref=GenBank:WP_011031985.1,GeneID:1478372;Name=WP_011031985.1;gbkey=CDS;inference=COORDINATES: protein motif:HMM:NF024579.5;locus_tag=MM_RS00165;product=tetratricopeptide repeat protein;protein_id=WP_011031985.1;transl_table=11	244.5	303.1428571428571	147.5	259.6428571428571	231.859801007046	0.31929217287259	0.197174966437171	1.61933423213911	0.105375369075409	0.300490370815872
sense	NC_003901.1	Protein Homology	CDS	36332	36604	.	+	0	ID=cds-WP_011031977.1-2;Parent=gene-MM_RS00170;Dbxref=GenBank:WP_011031977.1,GeneID:1478373;Name=WP_011031977.1;Ontology_term=GO:0110001;gbkey=CDS;go_component=toxin-antitoxin complex|0110001||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011031977.1;locus_tag=MM_RS00170;product=type II toxin-antitoxin system HicB family antitoxin;protein_id=WP_011031977.1;transl_table=11	477.7	622.0	272.5	357.5	411.413512183439	0.0151016279292789	0.177174821042017	0.085235745352877	0.932073973289534	0.965623321579713
sense	NC_003901.1	Protein Homology	CDS	36605	36829	.	+	0	ID=cds-WP_011031986.1;Parent=gene-MM_RS00175;Dbxref=GenBank:WP_011031986.1,GeneID:1478374;Name=WP_011031986.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011031986.1;locus_tag=MM_RS00175;product=type II toxin-antitoxin system HicA family toxin;protein_id=WP_011031986.1;transl_table=11	5.0	13.5	5.0	4.5	6.47414528376047	-0.0429624987932283	0.28948199502307	-0.148411644011934	0.882017911242478	NA
sense	NC_003901.1	Protein Homology	CDS	36987	37334	.	-	0	ID=cds-WP_226987655.1;Parent=gene-MM_RS00180;Dbxref=GenBank:WP_226987655.1,GeneID:1478375;Name=WP_226987655.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011031982.1;locus_tag=MM_RS00180;product=hypothetical protein;protein_id=WP_226987655.1;transl_table=11	9.0	25.0	4.0	15.0	11.6098409585538	-0.0254784484518101	0.315294963228445	-0.0808082951624882	0.935594411061301	NA
sense	NC_003901.1	GeneMarkS-2+	CDS	37836	38918	.	-	0	ID=cds-WP_048045827.1;Parent=gene-MM_RS00185;Dbxref=GenBank:WP_048045827.1,GeneID:1478376;Name=WP_048045827.1;gbkey=CDS;inference=COORDINATES: ab initio prediction:GeneMarkS-2+;locus_tag=MM_RS00185;product=hypothetical protein;protein_id=WP_048045827.1;transl_table=11	95.39285714285714	89.0	57.0	81.0	79.9925084527783	0.28959066400001	0.263061955984238	1.10084585555717	0.270963750388106	0.525161267780408
sense	NC_003901.1	GeneMarkS-2+	CDS	39205	42021	.	-	0	ID=cds-WP_048045828.1;Parent=gene-MM_RS00190;Dbxref=GenBank:WP_048045828.1,GeneID:1478377;Name=WP_048045828.1;gbkey=CDS;inference=COORDINATES: ab initio prediction:GeneMarkS-2+;locus_tag=MM_RS00190;product=HEAT repeat domain-containing protein;protein_id=WP_048045828.1;transl_table=11	148.58333333333331	176.25	76.0	128.75	126.310980219978	0.0983080015870843	0.229395250123188	0.428552908285119	0.668248622273317	0.84022437065248
sense	NC_003901.1	GeneMarkS-2+	CDS	42333	44348	.	+	0	ID=cds-WP_011031990.1;Parent=gene-MM_RS00195;Dbxref=GenBank:WP_011031990.1,GeneID:1478378;Name=WP_011031990.1;gbkey=CDS;inference=COORDINATES: ab initio prediction:GeneMarkS-2+;locus_tag=MM_RS00195;product=HEPN domain-containing protein;protein_id=WP_011031990.1;transl_table=11	287.125	401.0	153.0	339.0	279.955922465484	0.245959844413152	0.201509294783362	1.22058808591226	0.222242019541437	0.467848755956611
sense	NC_003901.1	Protein Homology	CDS	44603	45787	.	-	0	ID=cds-WP_011031991.1;Parent=gene-MM_RS00200;Dbxref=GenBank:WP_011031991.1,GeneID:1478379;Name=WP_011031991.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015410816.1;locus_tag=MM_RS00200;product=argininosuccinate synthase;protein_id=WP_011031991.1;transl_table=11	707.0	932.0	455.0	676.0	670.963468822514	0.253415098813385	0.158268206199763	1.6011750237033	0.109338159119662	0.308217938942964
sense	NC_003901.1	Protein Homology	CDS	46169	49390	.	-	0	ID=cds-WP_011031992.1;Parent=gene-MM_RS00205;Dbxref=GenBank:WP_011031992.1,GeneID:1478380;Name=WP_011031992.1;Ontology_term=GO:0008152,GO:0005524,GO:0046872;gbkey=CDS;gene=carB;go_function=ATP binding|0005524||IEA,metal ion binding|0046872||IEA;go_process=metabolic process|0008152||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015410817.1;locus_tag=MM_RS00205;product=carbamoyl-phosphate synthase large subunit;protein_id=WP_011031992.1;transl_table=11	1173.6666666666667	1757.0	466.0	750.5	929.679224116255	-0.4336957629355	0.154607293264067	-2.80514427087701	0.00502940627418007	0.0355729538662809
sense	NC_003901.1	Protein Homology	CDS	49390	50496	.	-	0	ID=cds-WP_048040213.1;Parent=gene-MM_RS00210;Dbxref=GenBank:WP_048040213.1,GeneID:1478381;Name=WP_048040213.1;Ontology_term=GO:0006207,GO:0006541,GO:0004088;gbkey=CDS;gene=carA;go_function=carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity|0004088||IEA;go_process='de novo' pyrimidine nucleobase biosynthetic process|0006207||IEA,glutamine metabolic process|0006541||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011022130.1;locus_tag=MM_RS00210;product=glutamine-hydrolyzing carbamoyl-phosphate synthase small subunit;protein_id=WP_048040213.1;transl_table=11	1999.0	3214.0	1051.5	1550.5	1798.07378416411	-0.164377807930371	0.151985576311402	-1.08153557672854	0.279458944087514	0.535169400831622
sense	NC_003901.1	Protein Homology	CDS	51425	52777	.	+	0	ID=cds-WP_011031994.1;Parent=gene-MM_RS00215;Dbxref=GenBank:WP_011031994.1,GeneID:1478382;Name=WP_011031994.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011031994.1;locus_tag=MM_RS00215;product=quaternary amine ABC transporter ATP-binding protein;protein_id=WP_011031994.1;transl_table=11	83.0	135.0	34.0	47.5	66.5791066737678	-0.449402157238136	0.271308591460154	-1.65642434992383	0.097635913335929	0.288442682995473
sense	NC_003901.1	Protein Homology	CDS	52774	53604	.	+	0	ID=cds-WP_011031995.1;Parent=gene-MM_RS00220;Dbxref=GenBank:WP_011031995.1,GeneID:1478383;Name=WP_011031995.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011031995.1;locus_tag=MM_RS00220;product=ABC transporter permease;protein_id=WP_011031995.1;transl_table=11	34.0	41.0	11.0	22.0	24.3673720436357	-0.243452596039326	0.318202453322196	-0.765087111986588	0.444219673756821	NA
sense	NC_003901.1	Protein Homology	CDS	53778	54698	.	+	0	ID=cds-WP_011031996.1;Parent=gene-MM_RS00225;Dbxref=GenBank:WP_011031996.1,GeneID:1478384;Name=WP_011031996.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015410820.1;locus_tag=MM_RS00225;product=glycine betaine ABC transporter substrate-binding protein;protein_id=WP_011031996.1;transl_table=11	75.0	97.0	36.0	70.0	65.3420057262324	0.05877697413465	0.270296398668911	0.217453781937534	0.827854721842746	0.922058879845541
sense	NC_003901.1	Protein Homology	CDS	54793	54951	.	-	0	ID=cds-WP_080503006.1;Parent=gene-MM_RS17635;Dbxref=GenBank:WP_080503006.1,GeneID:31474367;Name=WP_080503006.1;gbkey=CDS;inference=COORDINATES: protein motif:HMM:TIGR04213.1;locus_tag=MM_RS17635;product=hypothetical protein;protein_id=WP_080503006.1;transl_table=11	18.0	25.5	6.0	23.0	16.6652545509695	0.0585367393498488	0.322874132171019	0.181298944440812	0.856132934514181	NA
sense	NC_003901.1	Protein Homology	CDS	55009	57564	.	-	0	ID=cds-WP_226987656.1;Parent=gene-MM_RS00230;Dbxref=GenBank:WP_226987656.1,GeneID:1478385;Name=WP_226987656.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011031997.1;locus_tag=MM_RS00230;product=NosD domain-containing protein;protein_id=WP_226987656.1;transl_table=11	155.22222222222223	211.75	85.0	139.5	140.061845769479	0.0780440571505895	0.221628845283733	0.352138536166969	0.724734369250374	0.864152096558998
