Orientation of counted reads relative to the strand location of the annotation	Sequence name	Source	Feature	Start	End	Score	Strand	Frame	Attributes	mut_R1	mut_R2	wt_R1	wt_R2
sense	NC_003901.1	Protein Homology	CDS	26685	26957	.	+	0	ID=cds-WP_011031977.1;Parent=gene-MM_RS00120;Dbxref=GenBank:WP_011031977.1,GeneID:1478364;Name=WP_011031977.1;Ontology_term=GO:0110001;gbkey=CDS;go_component=toxin-antitoxin complex|0110001||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011031977.1;locus_tag=MM_RS00120;product=type II toxin-antitoxin system HicB family antitoxin;protein_id=WP_011031977.1;transl_table=11	315.48682754207965	351.2281815894544	278.49264174634277	289.082133696505
sense	NC_003901.1	Protein Homology	CDS	26958	27182	.	+	0	ID=cds-WP_011031978.1;Parent=gene-MM_RS00125;Dbxref=GenBank:WP_011031978.1,GeneID:1478365;Name=WP_011031978.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011031986.1;locus_tag=MM_RS00125;product=type II toxin-antitoxin system HicA family toxin;protein_id=WP_011031978.1;transl_table=11	9.438027961809492	11.250541112673401	14.028522242481237	9.294709607833699
sense	NC_003901.1	Protein Homology	CDS	27390	27710	.	+	0	ID=cds-WP_226987653.1;Parent=gene-MM_RS00130;Dbxref=GenBank:WP_226987653.1,GeneID:1478366;Name=WP_226987653.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011022118.1;locus_tag=MM_RS00130;product=hypothetical protein;protein_id=WP_226987653.1;transl_table=11	69.46212168154182	62.60921349873474	51.30300698184931	74.06507410078993
sense	NC_003901.1	Protein Homology	CDS	27707	28066	.	+	0	ID=cds-WP_011031980.1;Parent=gene-MM_RS00135;Dbxref=GenBank:WP_011031980.1,GeneID:1478367;Name=WP_011031980.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011031980.1;locus_tag=MM_RS00135;product=toxin-antitoxin system TumE family protein;protein_id=WP_011031980.1;transl_table=11	19.662558253769774	28.552509642012044	20.585331551467036	25.07125617902511
sense	NC_003901.1	GeneMarkS-2+	CDS	28373	28522	.	-	0	ID=cds-WP_226987654.1;Parent=gene-MM_RS19055;Dbxref=GenBank:WP_226987654.1,GeneID:68225789;Name=WP_226987654.1;gbkey=CDS;inference=COORDINATES: ab initio prediction:GeneMarkS-2+;locus_tag=MM_RS19055;product=hypothetical protein;protein_id=WP_226987654.1;transl_table=11	50.72940029472602	63.41214081688645	47.57498847450159	71.91170065008177
sense	NC_003901.1	Protein Homology	CDS	28927	29472	.	-	0	ID=cds-WP_011031981.1;Parent=gene-MM_RS00145;Dbxref=GenBank:WP_011031981.1,GeneID:1478368;Name=WP_011031981.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011031981.1;locus_tag=MM_RS00145;product=DUF6398 domain-containing protein;protein_id=WP_011031981.1;transl_table=11	21.229080752009676	24.16449889335446	14.075440377071477	26.610070884197114
sense	NC_003901.1	Protein Homology	CDS	29820	30167	.	-	0	ID=cds-WP_011031982.1;Parent=gene-MM_RS00150;Dbxref=GenBank:WP_011031982.1,GeneID:1478369;Name=WP_011031982.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011031982.1;locus_tag=MM_RS00150;product=hypothetical protein;protein_id=WP_011031982.1;transl_table=11	27.96829406786218	31.74133856240145	20.506460549354134	24.354332116714886
sense	NC_003901.1	Protein Homology	CDS	30530	33127	.	+	0	ID=cds-WP_011031983.1;Parent=gene-MM_RS00155;Dbxref=GenBank:WP_011031983.1,GeneID:1478370;Name=WP_011031983.1;Ontology_term=GO:0005524;gbkey=CDS;go_function=ATP binding|0005524||IEA;inference=COORDINATES: protein motif:HMM:NF024642.5;locus_tag=MM_RS00155;product=UvrD-helicase domain-containing protein;protein_id=WP_011031983.1;transl_table=11	14.712861141388931	14.113370385938186	10.776001120090518	16.395949092462203
sense	NC_003901.1	GeneMarkS-2+	CDS	33708	34109	.	+	0	ID=cds-WP_011031984.1;Parent=gene-MM_RS00160;Dbxref=GenBank:WP_011031984.1,GeneID:1478371;Name=WP_011031984.1;gbkey=CDS;inference=COORDINATES: ab initio prediction:GeneMarkS-2+;locus_tag=MM_RS00160;product=hypothetical protein;protein_id=WP_011031984.1;transl_table=11	15.847435010501012	14.120421342229168	15.020805775531501	13.690165368961653
sense	NC_003901.1	Protein Homology	CDS	34526	35647	.	-	0	ID=cds-WP_011031985.1;Parent=gene-MM_RS00165;Dbxref=GenBank:WP_011031985.1,GeneID:1478372;Name=WP_011031985.1;gbkey=CDS;inference=COORDINATES: protein motif:HMM:NF024579.5;locus_tag=MM_RS00165;product=tetratricopeptide repeat protein;protein_id=WP_011031985.1;transl_table=11	38.56279807256719	41.4501844591516	36.082429041490045	50.94226623046242
sense	NC_003901.1	Protein Homology	CDS	36332	36604	.	+	0	ID=cds-WP_011031977.1-2;Parent=gene-MM_RS00170;Dbxref=GenBank:WP_011031977.1,GeneID:1478373;Name=WP_011031977.1;Ontology_term=GO:0110001;gbkey=CDS;go_component=toxin-antitoxin complex|0110001||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011031977.1;locus_tag=MM_RS00170;product=type II toxin-antitoxin system HicB family antitoxin;protein_id=WP_011031977.1;transl_table=11	309.65288168656554	349.54228631782496	273.96839305371265	288.2757679121354
sense	NC_003901.1	Protein Homology	CDS	36605	36829	.	+	0	ID=cds-WP_011031986.1;Parent=gene-MM_RS00175;Dbxref=GenBank:WP_011031986.1,GeneID:1478374;Name=WP_011031986.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011031986.1;locus_tag=MM_RS00175;product=type II toxin-antitoxin system HicA family toxin;protein_id=WP_011031986.1;transl_table=11	3.932511650753955	9.20498818309642	6.099357496730973	4.402757182658068
sense	NC_003901.1	Protein Homology	CDS	36987	37334	.	-	0	ID=cds-WP_226987655.1;Parent=gene-MM_RS00180;Dbxref=GenBank:WP_226987655.1,GeneID:1478375;Name=WP_226987655.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011031982.1;locus_tag=MM_RS00180;product=hypothetical protein;protein_id=WP_226987655.1;transl_table=11	4.576629938377447	11.021298111944947	3.1548400845160205	9.488700824694112
sense	NC_003901.1	GeneMarkS-2+	CDS	37836	38918	.	-	0	ID=cds-WP_048045827.1;Parent=gene-MM_RS00185;Dbxref=GenBank:WP_048045827.1,GeneID:1478376;Name=WP_048045827.1;gbkey=CDS;inference=COORDINATES: ab initio prediction:GeneMarkS-2+;locus_tag=MM_RS00185;product=hypothetical protein;protein_id=WP_048045827.1;transl_table=11	15.587265461758724	12.607632322185001	14.445846702783884	16.464604422682523
sense	NC_003901.1	GeneMarkS-2+	CDS	39205	42021	.	-	0	ID=cds-WP_048045828.1;Parent=gene-MM_RS00190;Dbxref=GenBank:WP_048045828.1,GeneID:1478377;Name=WP_048045828.1;gbkey=CDS;inference=COORDINATES: ab initio prediction:GeneMarkS-2+;locus_tag=MM_RS00190;product=HEAT repeat domain-containing protein;protein_id=WP_048045828.1;transl_table=11	9.333956700338526	9.598740783757805	7.404970762804377	10.061323877657548
sense	NC_003901.1	GeneMarkS-2+	CDS	42333	44348	.	+	0	ID=cds-WP_011031990.1;Parent=gene-MM_RS00195;Dbxref=GenBank:WP_011031990.1,GeneID:1478378;Name=WP_011031990.1;gbkey=CDS;inference=COORDINATES: ab initio prediction:GeneMarkS-2+;locus_tag=MM_RS00195;product=HEPN domain-containing protein;protein_id=WP_011031990.1;transl_table=11	25.20362517238235	30.515875177097094	20.830395022317834	37.01722928871739
sense	NC_003901.1	Protein Homology	CDS	44603	45787	.	-	0	ID=cds-WP_011031991.1;Parent=gene-MM_RS00200;Dbxref=GenBank:WP_011031991.1,GeneID:1478379;Name=WP_011031991.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015410816.1;locus_tag=MM_RS00200;product=argininosuccinate synthase;protein_id=WP_011031991.1;transl_table=11	105.5804710284701	120.66172976998402	105.38763269668074	125.58075339564785
sense	NC_003901.1	Protein Homology	CDS	46169	49390	.	-	0	ID=cds-WP_011031992.1;Parent=gene-MM_RS00205;Dbxref=GenBank:WP_011031992.1,GeneID:1478380;Name=WP_011031992.1;Ontology_term=GO:0008152,GO:0005524,GO:0046872;gbkey=CDS;gene=carB;go_function=ATP binding|0005524||IEA,metal ion binding|0046872||IEA;go_process=metabolic process|0008152||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015410817.1;locus_tag=MM_RS00205;product=carbamoyl-phosphate synthase large subunit;protein_id=WP_011031992.1;transl_table=11	64.46170168670706	83.66006744103254	39.696935663081476	51.276680099082554
sense	NC_003901.1	Protein Homology	CDS	49390	50496	.	-	0	ID=cds-WP_048040213.1;Parent=gene-MM_RS00210;Dbxref=GenBank:WP_048040213.1,GeneID:1478381;Name=WP_048040213.1;Ontology_term=GO:0006207,GO:0006541,GO:0004088;gbkey=CDS;gene=carA;go_function=carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity|0004088||IEA;go_process='de novo' pyrimidine nucleobase biosynthetic process|0006207||IEA,glutamine metabolic process|0006541||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011022130.1;locus_tag=MM_RS00210;product=glutamine-hydrolyzing carbamoyl-phosphate synthase small subunit;protein_id=WP_048040213.1;transl_table=11	319.5565361730551	445.4205362913564	260.71034178100075	308.3322046843421
sense	NC_003901.1	Protein Homology	CDS	51425	52777	.	+	0	ID=cds-WP_011031994.1;Parent=gene-MM_RS00215;Dbxref=GenBank:WP_011031994.1,GeneID:1478382;Name=WP_011031994.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011031994.1;locus_tag=MM_RS00215;product=quaternary amine ABC transporter ATP-binding protein;protein_id=WP_011031994.1;transl_table=11	10.855824845207703	15.307630016235732	6.897277878786688	7.728417079684339
sense	NC_003901.1	Protein Homology	CDS	52774	53604	.	+	0	ID=cds-WP_011031995.1;Parent=gene-MM_RS00220;Dbxref=GenBank:WP_011031995.1,GeneID:1478383;Name=WP_011031995.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011031995.1;locus_tag=MM_RS00220;product=ABC transporter permease;protein_id=WP_011031995.1;transl_table=11	7.240364411135441	7.569284306196415	3.633191288666464	5.827957762844615
sense	NC_003901.1	Protein Homology	CDS	53778	54698	.	+	0	ID=cds-WP_011031996.1;Parent=gene-MM_RS00225;Dbxref=GenBank:WP_011031996.1,GeneID:1478384;Name=WP_011031996.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015410820.1;locus_tag=MM_RS00225;product=glycine betaine ABC transporter substrate-binding protein;protein_id=WP_011031996.1;transl_table=11	14.410669729961562	16.157869232000593	10.728511557767835	16.731433376007857
sense	NC_003901.1	Protein Homology	CDS	54793	54951	.	-	0	ID=cds-WP_080503006.1;Parent=gene-MM_RS17635;Dbxref=GenBank:WP_080503006.1,GeneID:31474367;Name=WP_080503006.1;gbkey=CDS;inference=COORDINATES: protein motif:HMM:TIGR04213.1;locus_tag=MM_RS17635;product=hypothetical protein;protein_id=WP_080503006.1;transl_table=11	20.033549918935243	24.604528162364645	10.35739952275071	31.843841258218728
sense	NC_003901.1	Protein Homology	CDS	55009	57564	.	-	0	ID=cds-WP_226987656.1;Parent=gene-MM_RS00230;Dbxref=GenBank:WP_226987656.1,GeneID:1478385;Name=WP_226987656.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011031997.1;locus_tag=MM_RS00230;product=NosD domain-containing protein;protein_id=WP_226987656.1;transl_table=11	10.746711220859302	12.709678193601114	9.127559634192478	12.014566255492968
sense	NC_003901.1	Protein Homology	CDS	58247	59089	.	+	0	ID=cds-WP_011031998.1;Parent=gene-MM_RS00240;Dbxref=GenBank:WP_011031998.1,GeneID:1478386;Name=WP_011031998.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011031998.1;locus_tag=MM_RS00240;product=tetratricopeptide repeat protein;protein_id=WP_011031998.1;transl_table=11	5.352974044175757	9.09943474011113	3.58147326320502	5.222725009084304
sense	NC_003901.1	Protein Homology	CDS	59399	60481	.	+	0	ID=cds-WP_011031999.1;Parent=gene-MM_RS00245;Dbxref=GenBank:WP_011031999.1,GeneID:1478387;Name=WP_011031999.1;Ontology_term=GO:0005515;gbkey=CDS;go_function=protein binding|0005515||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011031999.1;locus_tag=MM_RS00245;product=ankyrin repeat domain-containing protein;protein_id=WP_011031999.1;transl_table=11	32.08101609825595	41.41158631669006	23.82297526424009	30.08347474761745
sense	NC_003901.1	Protein Homology	CDS	60576	61070	.	+	0	ID=cds-WP_015410822.1;Parent=gene-MM_RS00250;Dbxref=GenBank:WP_015410822.1,GeneID:1478388;Name=WP_015410822.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015410822.1;locus_tag=MM_RS00250;product=hypothetical protein;protein_id=WP_015410822.1;transl_table=11	131.32205573123812	160.5449117455874	90.38138836064988	138.30883674814737
sense	NC_003901.1	Protein Homology	CDS	61663	63072	.	-	0	ID=cds-WP_226987657.1;Parent=gene-MM_RS00255;Dbxref=GenBank:WP_226987657.1,GeneID:1478389;Name=WP_226987657.1;Ontology_term=GO:0008483,GO:0030170;gbkey=CDS;go_function=transaminase activity|0008483||IEA,pyridoxal phosphate binding|0030170||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011032001.1;locus_tag=MM_RS00255;product=aminotransferase class III-fold pyridoxal phosphate-dependent enzyme;protein_id=WP_226987657.1;transl_table=11	26.59769848118741	30.030457902300377	28.874617936651948	21.85765977206133
sense	NC_003901.1	Protein Homology	CDS	63093	64571	.	-	0	ID=cds-WP_011032002.1;Parent=gene-MM_RS00260;Dbxref=GenBank:WP_011032002.1,GeneID:1478390;Name=WP_011032002.1;Ontology_term=GO:0016491;gbkey=CDS;go_function=oxidoreductase activity|0016491||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015410824.1;locus_tag=MM_RS00260;product=aldehyde dehydrogenase family protein;protein_id=WP_011032002.1;transl_table=11	60.991819897722976	76.81196472371984	52.98275553701905	50.38314084955226
sense	NC_003901.1	Protein Homology	CDS	65089	65484	.	-	0	ID=cds-WP_011032003.1;Parent=gene-MM_RS00265;Dbxref=GenBank:WP_011032003.1,GeneID:1478391;Name=WP_011032003.1;Ontology_term=GO:0000160;gbkey=CDS;go_process=phosphorelay signal transduction system|0000160||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011032003.1;locus_tag=MM_RS00265;product=response regulator;protein_id=WP_011032003.1;transl_table=11	70.15958286004215	89.88035599656438	70.00398945111685	80.6060342784621
