#Sequence name	Source	Feature	Start	End	Score	Strand	Frame	Attributes	sense	antisense
NC_003901.1	Protein Homology	CDS	12748	13155	.	+	0	ID=cds-WP_011031966.1;Parent=gene-MM_RS00050;Dbxref=GenBank:WP_011031966.1,GeneID:1478353;Name=WP_011031966.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015412933.1;locus_tag=MM_RS00050;product=DUF1699 family protein;protein_id=WP_011031966.1;transl_table=11	2340.1666666666665	0
NC_003901.1	GeneMarkS-2+	CDS	13767	13943	.	+	0	ID=cds-WP_015410796.1;Parent=gene-MM_RS18145;Dbxref=GenBank:WP_015410796.1,GeneID:43445777;Name=WP_015410796.1;gbkey=CDS;inference=COORDINATES: ab initio prediction:GeneMarkS-2+;locus_tag=MM_RS18145;product=molecular chaperone DnaJ;protein_id=WP_015410796.1;transl_table=11	8.5	0
NC_003901.1	Protein Homology	CDS	14436	14801	.	+	0	ID=cds-WP_011031967.1;Parent=gene-MM_RS00055;Dbxref=GenBank:WP_011031967.1,GeneID:1478354;Name=WP_011031967.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011031967.1;locus_tag=MM_RS00055;product=DUF1428 domain-containing protein;protein_id=WP_011031967.1;transl_table=11	13.0	0
NC_003901.1	Protein Homology	CDS	15146	15637	.	+	0	ID=cds-WP_011031968.1;Parent=gene-MM_RS00060;Dbxref=GenBank:WP_011031968.1,GeneID:1478355;Name=WP_011031968.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011031968.1;locus_tag=MM_RS00060;product=hypothetical protein;protein_id=WP_011031968.1;transl_table=11	125.0	0
NC_003901.1	Protein Homology	CDS	15934	16548	.	+	0	ID=cds-WP_226987774.1;Parent=gene-MM_RS00065;Dbxref=GenBank:WP_226987774.1,GeneID:24771896;Name=WP_226987774.1;gbkey=CDS;inference=COORDINATES: protein motif:HMM:NF013424.5;locus_tag=MM_RS00065;product=undecaprenyl diphosphate synthase family protein;protein_id=WP_226987774.1;transl_table=11	62.642857142857146	0
NC_003901.1	Protein Homology	CDS	16763	17350	.	-	0	ID=cds-WP_015410800.1;Parent=gene-MM_RS00070;Dbxref=GenBank:WP_015410800.1,GeneID:1478357;Name=WP_015410800.1;Ontology_term=GO:0008168,GO:1904047;gbkey=CDS;go_function=methyltransferase activity|0008168||IEA,S-adenosyl-L-methionine binding|1904047||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015410800.1;locus_tag=MM_RS00070;product=class I SAM-dependent methyltransferase;protein_id=WP_015410800.1;transl_table=11	54.0	0
NC_003901.1	Protein Homology	CDS	17606	17794	.	+	0	ID=cds-WP_015410801.1;Parent=gene-MM_RS00075;Dbxref=GenBank:WP_015410801.1,GeneID:24771897;Name=WP_015410801.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015410801.1;locus_tag=MM_RS00075;product=CxxC-x17-CxxC domain-containing protein;protein_id=WP_015410801.1;transl_table=11	651.5	0
NC_003901.1	Protein Homology	CDS	18338	18520	.	+	0	ID=cds-WP_015410803.1;Parent=gene-MM_RS00080;Dbxref=GenBank:WP_015410803.1,GeneID:24771898;Name=WP_015410803.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011307332.1;locus_tag=MM_RS00080;product=CxxC-x17-CxxC domain-containing protein;protein_id=WP_015410803.1;transl_table=11	430.0	0
NC_003901.1	Protein Homology	CDS	18763	19098	.	+	0	ID=cds-WP_080503005.1;Parent=gene-MM_RS17630;Dbxref=GenBank:WP_080503005.1,GeneID:31474366;Name=WP_080503005.1;Ontology_term=GO:0006413,GO:0003743;gbkey=CDS;gene=eif1A;go_function=translation initiation factor activity|0003743||IEA;go_process=translational initiation|0006413||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015324693.1;locus_tag=MM_RS17630;product=translation initiation factor eIF-1A;protein_id=WP_080503005.1;transl_table=11	49.0	0
NC_003901.1	Protein Homology	CDS	19760	20581	.	-	0	ID=cds-WP_011031972.1;Parent=gene-MM_RS00090;Dbxref=GenBank:WP_011031972.1,GeneID:1478359;Name=WP_011031972.1;Ontology_term=GO:0008168,GO:1904047;gbkey=CDS;go_function=methyltransferase activity|0008168||IEA,S-adenosyl-L-methionine binding|1904047||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011031972.1;locus_tag=MM_RS00090;product=class I SAM-dependent methyltransferase;protein_id=WP_011031972.1;transl_table=11	250.5	0
NC_003901.1	Protein Homology	CDS	21940	22137	.	+	0	ID=cds-WP_015410804.1;Parent=gene-MM_RS00095;Dbxref=GenBank:WP_015410804.1,GeneID:24771899;Name=WP_015410804.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015410804.1;locus_tag=MM_RS00095;product=CxxC-x17-CxxC domain-containing protein;protein_id=WP_015410804.1;transl_table=11	151.0	0
NC_003901.1	Protein Homology	CDS	22682	23977	.	-	0	ID=cds-WP_011031974.1;Parent=gene-MM_RS00105;Dbxref=GenBank:WP_011031974.1,GeneID:1478361;Name=WP_011031974.1;Ontology_term=GO:0005524;gbkey=CDS;go_function=ATP binding|0005524||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011031974.1;locus_tag=MM_RS00105;product=ATP-binding protein;protein_id=WP_011031974.1;transl_table=11	799.5	0
NC_003901.1	Protein Homology	CDS	24297	25382	.	-	0	ID=cds-WP_015410806.1;Parent=gene-MM_RS00110;Dbxref=GenBank:WP_015410806.1,GeneID:1478362;Name=WP_015410806.1;Ontology_term=GO:0005515;gbkey=CDS;go_function=protein binding|0005515||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015410806.1;locus_tag=MM_RS00110;product=HEAT repeat domain-containing protein;protein_id=WP_015410806.1;transl_table=11	73.25	0
NC_003901.1	Protein Homology	CDS	26001	26186	.	+	0	ID=cds-WP_015410807.1;Parent=gene-MM_RS00115;Dbxref=GenBank:WP_015410807.1,GeneID:1478363;Name=WP_015410807.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015410807.1;locus_tag=MM_RS00115;product=CxxC-x17-CxxC domain-containing protein;protein_id=WP_015410807.1;transl_table=11	66.0	0
NC_003901.1	Protein Homology	CDS	26685	26957	.	+	0	ID=cds-WP_011031977.1;Parent=gene-MM_RS00120;Dbxref=GenBank:WP_011031977.1,GeneID:1478364;Name=WP_011031977.1;Ontology_term=GO:0110001;gbkey=CDS;go_component=toxin-antitoxin complex|0110001||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011031977.1;locus_tag=MM_RS00120;product=type II toxin-antitoxin system HicB family antitoxin;protein_id=WP_011031977.1;transl_table=11	486.7	0
NC_003901.1	Protein Homology	CDS	26958	27182	.	+	0	ID=cds-WP_011031978.1;Parent=gene-MM_RS00125;Dbxref=GenBank:WP_011031978.1,GeneID:1478365;Name=WP_011031978.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011031986.1;locus_tag=MM_RS00125;product=type II toxin-antitoxin system HicA family toxin;protein_id=WP_011031978.1;transl_table=11	12.0	0
NC_003901.1	Protein Homology	CDS	27390	27710	.	+	0	ID=cds-WP_226987653.1;Parent=gene-MM_RS00130;Dbxref=GenBank:WP_226987653.1,GeneID:1478366;Name=WP_226987653.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011022118.1;locus_tag=MM_RS00130;product=hypothetical protein;protein_id=WP_226987653.1;transl_table=11	126.0	0
NC_003901.1	Protein Homology	CDS	27707	28066	.	+	0	ID=cds-WP_011031980.1;Parent=gene-MM_RS00135;Dbxref=GenBank:WP_011031980.1,GeneID:1478367;Name=WP_011031980.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011031980.1;locus_tag=MM_RS00135;product=toxin-antitoxin system TumE family protein;protein_id=WP_011031980.1;transl_table=11	40.0	0
NC_003901.1	GeneMarkS-2+	CDS	28373	28522	.	-	0	ID=cds-WP_226987654.1;Parent=gene-MM_RS19055;Dbxref=GenBank:WP_226987654.1,GeneID:68225789;Name=WP_226987654.1;gbkey=CDS;inference=COORDINATES: ab initio prediction:GeneMarkS-2+;locus_tag=MM_RS19055;product=hypothetical protein;protein_id=WP_226987654.1;transl_table=11	43.0	0
NC_003901.1	Protein Homology	CDS	28927	29472	.	-	0	ID=cds-WP_011031981.1;Parent=gene-MM_RS00145;Dbxref=GenBank:WP_011031981.1,GeneID:1478368;Name=WP_011031981.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011031981.1;locus_tag=MM_RS00145;product=DUF6398 domain-containing protein;protein_id=WP_011031981.1;transl_table=11	65.5	0
NC_003901.1	Protein Homology	CDS	29820	30167	.	-	0	ID=cds-WP_011031982.1;Parent=gene-MM_RS00150;Dbxref=GenBank:WP_011031982.1,GeneID:1478369;Name=WP_011031982.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011031982.1;locus_tag=MM_RS00150;product=hypothetical protein;protein_id=WP_011031982.1;transl_table=11	55.0	0
NC_003901.1	Protein Homology	CDS	30530	33127	.	+	0	ID=cds-WP_011031983.1;Parent=gene-MM_RS00155;Dbxref=GenBank:WP_011031983.1,GeneID:1478370;Name=WP_011031983.1;Ontology_term=GO:0005524;gbkey=CDS;go_function=ATP binding|0005524||IEA;inference=COORDINATES: protein motif:HMM:NF024642.5;locus_tag=MM_RS00155;product=UvrD-helicase domain-containing protein;protein_id=WP_011031983.1;transl_table=11	216.0	0
NC_003901.1	GeneMarkS-2+	CDS	33708	34109	.	+	0	ID=cds-WP_011031984.1;Parent=gene-MM_RS00160;Dbxref=GenBank:WP_011031984.1,GeneID:1478371;Name=WP_011031984.1;gbkey=CDS;inference=COORDINATES: ab initio prediction:GeneMarkS-2+;locus_tag=MM_RS00160;product=hypothetical protein;protein_id=WP_011031984.1;transl_table=11	36.0	0
NC_003901.1	Protein Homology	CDS	34526	35647	.	-	0	ID=cds-WP_011031985.1;Parent=gene-MM_RS00165;Dbxref=GenBank:WP_011031985.1,GeneID:1478372;Name=WP_011031985.1;gbkey=CDS;inference=COORDINATES: protein motif:HMM:NF024579.5;locus_tag=MM_RS00165;product=tetratricopeptide repeat protein;protein_id=WP_011031985.1;transl_table=11	244.5	0
NC_003901.1	Protein Homology	CDS	36332	36604	.	+	0	ID=cds-WP_011031977.1-2;Parent=gene-MM_RS00170;Dbxref=GenBank:WP_011031977.1,GeneID:1478373;Name=WP_011031977.1;Ontology_term=GO:0110001;gbkey=CDS;go_component=toxin-antitoxin complex|0110001||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011031977.1;locus_tag=MM_RS00170;product=type II toxin-antitoxin system HicB family antitoxin;protein_id=WP_011031977.1;transl_table=11	477.7	0
NC_003901.1	Protein Homology	CDS	36605	36829	.	+	0	ID=cds-WP_011031986.1;Parent=gene-MM_RS00175;Dbxref=GenBank:WP_011031986.1,GeneID:1478374;Name=WP_011031986.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011031986.1;locus_tag=MM_RS00175;product=type II toxin-antitoxin system HicA family toxin;protein_id=WP_011031986.1;transl_table=11	5.0	0
NC_003901.1	Protein Homology	CDS	36987	37334	.	-	0	ID=cds-WP_226987655.1;Parent=gene-MM_RS00180;Dbxref=GenBank:WP_226987655.1,GeneID:1478375;Name=WP_226987655.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011031982.1;locus_tag=MM_RS00180;product=hypothetical protein;protein_id=WP_226987655.1;transl_table=11	9.0	0
NC_003901.1	GeneMarkS-2+	CDS	37836	38918	.	-	0	ID=cds-WP_048045827.1;Parent=gene-MM_RS00185;Dbxref=GenBank:WP_048045827.1,GeneID:1478376;Name=WP_048045827.1;gbkey=CDS;inference=COORDINATES: ab initio prediction:GeneMarkS-2+;locus_tag=MM_RS00185;product=hypothetical protein;protein_id=WP_048045827.1;transl_table=11	95.39285714285714	0
NC_003901.1	GeneMarkS-2+	CDS	39205	42021	.	-	0	ID=cds-WP_048045828.1;Parent=gene-MM_RS00190;Dbxref=GenBank:WP_048045828.1,GeneID:1478377;Name=WP_048045828.1;gbkey=CDS;inference=COORDINATES: ab initio prediction:GeneMarkS-2+;locus_tag=MM_RS00190;product=HEAT repeat domain-containing protein;protein_id=WP_048045828.1;transl_table=11	148.58333333333331	0
NC_003901.1	GeneMarkS-2+	CDS	42333	44348	.	+	0	ID=cds-WP_011031990.1;Parent=gene-MM_RS00195;Dbxref=GenBank:WP_011031990.1,GeneID:1478378;Name=WP_011031990.1;gbkey=CDS;inference=COORDINATES: ab initio prediction:GeneMarkS-2+;locus_tag=MM_RS00195;product=HEPN domain-containing protein;protein_id=WP_011031990.1;transl_table=11	287.125	0
NC_003901.1	Protein Homology	CDS	44603	45787	.	-	0	ID=cds-WP_011031991.1;Parent=gene-MM_RS00200;Dbxref=GenBank:WP_011031991.1,GeneID:1478379;Name=WP_011031991.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015410816.1;locus_tag=MM_RS00200;product=argininosuccinate synthase;protein_id=WP_011031991.1;transl_table=11	707.0	0
NC_003901.1	Protein Homology	CDS	46169	49390	.	-	0	ID=cds-WP_011031992.1;Parent=gene-MM_RS00205;Dbxref=GenBank:WP_011031992.1,GeneID:1478380;Name=WP_011031992.1;Ontology_term=GO:0008152,GO:0005524,GO:0046872;gbkey=CDS;gene=carB;go_function=ATP binding|0005524||IEA,metal ion binding|0046872||IEA;go_process=metabolic process|0008152||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015410817.1;locus_tag=MM_RS00205;product=carbamoyl-phosphate synthase large subunit;protein_id=WP_011031992.1;transl_table=11	1173.6666666666667	0
NC_003901.1	Protein Homology	CDS	49390	50496	.	-	0	ID=cds-WP_048040213.1;Parent=gene-MM_RS00210;Dbxref=GenBank:WP_048040213.1,GeneID:1478381;Name=WP_048040213.1;Ontology_term=GO:0006207,GO:0006541,GO:0004088;gbkey=CDS;gene=carA;go_function=carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity|0004088||IEA;go_process='de novo' pyrimidine nucleobase biosynthetic process|0006207||IEA,glutamine metabolic process|0006541||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011022130.1;locus_tag=MM_RS00210;product=glutamine-hydrolyzing carbamoyl-phosphate synthase small subunit;protein_id=WP_048040213.1;transl_table=11	1999.0	0
NC_003901.1	Protein Homology	CDS	51425	52777	.	+	0	ID=cds-WP_011031994.1;Parent=gene-MM_RS00215;Dbxref=GenBank:WP_011031994.1,GeneID:1478382;Name=WP_011031994.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011031994.1;locus_tag=MM_RS00215;product=quaternary amine ABC transporter ATP-binding protein;protein_id=WP_011031994.1;transl_table=11	83.0	0
NC_003901.1	Protein Homology	CDS	52774	53604	.	+	0	ID=cds-WP_011031995.1;Parent=gene-MM_RS00220;Dbxref=GenBank:WP_011031995.1,GeneID:1478383;Name=WP_011031995.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011031995.1;locus_tag=MM_RS00220;product=ABC transporter permease;protein_id=WP_011031995.1;transl_table=11	34.0	0
NC_003901.1	Protein Homology	CDS	53778	54698	.	+	0	ID=cds-WP_011031996.1;Parent=gene-MM_RS00225;Dbxref=GenBank:WP_011031996.1,GeneID:1478384;Name=WP_011031996.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015410820.1;locus_tag=MM_RS00225;product=glycine betaine ABC transporter substrate-binding protein;protein_id=WP_011031996.1;transl_table=11	75.0	0
NC_003901.1	Protein Homology	CDS	54793	54951	.	-	0	ID=cds-WP_080503006.1;Parent=gene-MM_RS17635;Dbxref=GenBank:WP_080503006.1,GeneID:31474367;Name=WP_080503006.1;gbkey=CDS;inference=COORDINATES: protein motif:HMM:TIGR04213.1;locus_tag=MM_RS17635;product=hypothetical protein;protein_id=WP_080503006.1;transl_table=11	18.0	0
NC_003901.1	Protein Homology	CDS	55009	57564	.	-	0	ID=cds-WP_226987656.1;Parent=gene-MM_RS00230;Dbxref=GenBank:WP_226987656.1,GeneID:1478385;Name=WP_226987656.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011031997.1;locus_tag=MM_RS00230;product=NosD domain-containing protein;protein_id=WP_226987656.1;transl_table=11	155.22222222222223	0
NC_003901.1	Protein Homology	CDS	58247	59089	.	+	0	ID=cds-WP_011031998.1;Parent=gene-MM_RS00240;Dbxref=GenBank:WP_011031998.1,GeneID:1478386;Name=WP_011031998.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011031998.1;locus_tag=MM_RS00240;product=tetratricopeptide repeat protein;protein_id=WP_011031998.1;transl_table=11	25.5	0
NC_003901.1	Protein Homology	CDS	59399	60481	.	+	0	ID=cds-WP_011031999.1;Parent=gene-MM_RS00245;Dbxref=GenBank:WP_011031999.1,GeneID:1478387;Name=WP_011031999.1;Ontology_term=GO:0005515;gbkey=CDS;go_function=protein binding|0005515||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011031999.1;locus_tag=MM_RS00245;product=ankyrin repeat domain-containing protein;protein_id=WP_011031999.1;transl_table=11	196.33333333333334	0
NC_003901.1	Protein Homology	CDS	60576	61070	.	+	0	ID=cds-WP_015410822.1;Parent=gene-MM_RS00250;Dbxref=GenBank:WP_015410822.1,GeneID:1478388;Name=WP_015410822.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015410822.1;locus_tag=MM_RS00250;product=hypothetical protein;protein_id=WP_015410822.1;transl_table=11	367.3333333333333	0
NC_003901.1	Protein Homology	CDS	61663	63072	.	-	0	ID=cds-WP_226987657.1;Parent=gene-MM_RS00255;Dbxref=GenBank:WP_226987657.1,GeneID:1478389;Name=WP_226987657.1;Ontology_term=GO:0008483,GO:0030170;gbkey=CDS;go_function=transaminase activity|0008483||IEA,pyridoxal phosphate binding|0030170||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011032001.1;locus_tag=MM_RS00255;product=aminotransferase class III-fold pyridoxal phosphate-dependent enzyme;protein_id=WP_226987657.1;transl_table=11	211.92424242424244	0
NC_003901.1	Protein Homology	CDS	63093	64571	.	-	0	ID=cds-WP_011032002.1;Parent=gene-MM_RS00260;Dbxref=GenBank:WP_011032002.1,GeneID:1478390;Name=WP_011032002.1;Ontology_term=GO:0016491;gbkey=CDS;go_function=oxidoreductase activity|0016491||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015410824.1;locus_tag=MM_RS00260;product=aldehyde dehydrogenase family protein;protein_id=WP_011032002.1;transl_table=11	509.75	0
NC_003901.1	Protein Homology	CDS	65089	65484	.	-	0	ID=cds-WP_011032003.1;Parent=gene-MM_RS00265;Dbxref=GenBank:WP_011032003.1,GeneID:1478391;Name=WP_011032003.1;Ontology_term=GO:0000160;gbkey=CDS;go_process=phosphorelay signal transduction system|0000160||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011032003.1;locus_tag=MM_RS00265;product=response regulator;protein_id=WP_011032003.1;transl_table=11	157.0	0
NC_003901.1	Protein Homology	CDS	66148	68049	.	-	0	ID=cds-WP_011032004.1;Parent=gene-MM_RS00270;Dbxref=GenBank:WP_011032004.1,GeneID:1478392;Name=WP_011032004.1;gbkey=CDS;gene=gatE;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015410826.1;locus_tag=MM_RS00270;product=Glu-tRNA(Gln) amidotransferase subunit GatE;protein_id=WP_011032004.1;transl_table=11	893.3333333333334	0
NC_003901.1	Protein Homology	CDS	68755	69171	.	+	0	ID=cds-WP_011032005.1;Parent=gene-MM_RS00275;Dbxref=GenBank:WP_011032005.1,GeneID:1478393;Name=WP_011032005.1;gbkey=CDS;inference=COORDINATES: protein motif:HMM:NF019932.5;locus_tag=MM_RS00275;product=nuclear transport factor 2 family protein;protein_id=WP_011032005.1;transl_table=11	27.0	0
NC_003901.1	Protein Homology	CDS	69361	70605	.	-	0	ID=cds-WP_011032006.1;Parent=gene-MM_RS00280;Dbxref=GenBank:WP_011032006.1,GeneID:1478394;Name=WP_011032006.1;Ontology_term=GO:0006313,GO:0004803;gbkey=CDS;go_function=transposase activity|0004803||IEA;go_process=DNA transposition|0006313||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011032006.1;locus_tag=MM_RS00280;product=IS110-like element ISMma5 family transposase;protein_id=WP_011032006.1;transl_table=11	128.211111111111	0
NC_003901.1	Protein Homology	CDS	71412	71882	.	+	0	ID=cds-WP_015410829.1;Parent=gene-MM_RS00285;Dbxref=GenBank:WP_015410829.1,GeneID:1478396;Name=WP_015410829.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015410829.1;locus_tag=MM_RS00285;product=universal stress protein;protein_id=WP_015410829.1;transl_table=11	251.5	0
NC_003901.1	Protein Homology	CDS	72307	73809	.	-	0	ID=cds-WP_011032009.1;Parent=gene-MM_RS00290;Dbxref=GenBank:WP_011032009.1,GeneID:1478397;Name=WP_011032009.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011032009.1;locus_tag=MM_RS00290;product=4Fe-4S dicluster domain-containing protein;protein_id=WP_011032009.1;transl_table=11	160.33333333333334	0
NC_003901.1	Protein Homology	CDS	73806	76187	.	-	0	ID=cds-WP_011032010.1;Parent=gene-MM_RS00295;Dbxref=GenBank:WP_011032010.1,GeneID:1478398;Name=WP_011032010.1;gbkey=CDS;gene=hdrA2;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011032010.1;locus_tag=MM_RS00295;product=CoB-CoM heterodisulfide reductase HdrA2;protein_id=WP_011032010.1;transl_table=11	205.0	0
NC_003901.1	Protein Homology	CDS	77008	77289	.	+	0	ID=cds-WP_011032011.1;Parent=gene-MM_RS00300;Dbxref=GenBank:WP_011032011.1,GeneID:1478399;Name=WP_011032011.1;Ontology_term=GO:0016730;gbkey=CDS;go_function=oxidoreductase activity%2C acting on iron-sulfur proteins as donors|0016730||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011022822.1;locus_tag=MM_RS00300;product=ferredoxin-thioredoxin reductase catalytic domain-containing protein;protein_id=WP_011032011.1;transl_table=11	298.0	0
NC_003901.1	Protein Homology	CDS	77762	78226	.	+	0	ID=cds-WP_011032012.1;Parent=gene-MM_RS00305;Dbxref=GenBank:WP_011032012.1,GeneID:1478400;Name=WP_011032012.1;Ontology_term=GO:0051536;gbkey=CDS;go_function=iron-sulfur cluster binding|0051536||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011307857.1;locus_tag=MM_RS00305;product=(Fe-S)-binding protein;protein_id=WP_011032012.1;transl_table=11	264.5	0
