locus_tag	ftype	length_bp	gene	EC_number	COG	product
IJOGNDPK_00033	gene	1113	mnmA_1			
IJOGNDPK_00033	CDS	1113	mnmA_1	2.8.1.13	COG0482	tRNA-specific 2-thiouridylase MnmA
IJOGNDPK_00034	gene	1089	wecH			
IJOGNDPK_00034	CDS	1089	wecH	2.3.1.-		O-acetyltransferase WecH
IJOGNDPK_00035	gene	1023	xsa_1			
IJOGNDPK_00035	CDS	1023	xsa_1			Xylosidase/arabinosidase
IJOGNDPK_00036	gene	2316				
IJOGNDPK_00036	CDS	2316				hypothetical protein
IJOGNDPK_00037	gene	2493				
IJOGNDPK_00037	CDS	2493				hypothetical protein
IJOGNDPK_00038	gene	2181				
IJOGNDPK_00038	CDS	2181				hypothetical protein
IJOGNDPK_00039	gene	816				
IJOGNDPK_00039	CDS	816				hypothetical protein
IJOGNDPK_00040	gene	2067				
IJOGNDPK_00040	CDS	2067				hypothetical protein
IJOGNDPK_00041	gene	3171				
IJOGNDPK_00041	CDS	3171				TonB-dependent receptor P3
IJOGNDPK_00042	gene	1458				
IJOGNDPK_00042	CDS	1458				hypothetical protein
IJOGNDPK_00043	gene	1842				
IJOGNDPK_00043	CDS	1842				hypothetical protein
IJOGNDPK_00044	gene	2535				
IJOGNDPK_00044	CDS	2535				hypothetical protein
IJOGNDPK_00045	gene	861				
IJOGNDPK_00045	CDS	861				hypothetical protein
IJOGNDPK_00046	gene	1056	iolW			
IJOGNDPK_00046	CDS	1056	iolW	1.1.1.371	COG0673	scyllo-inositol 2-dehydrogenase (NADP(+)) IolW
IJOGNDPK_00047	gene	1137	nagA_1			
IJOGNDPK_00047	CDS	1137	nagA_1	3.2.1.49		Alpha-N-acetylgalactosaminidase
IJOGNDPK_00048	gene	1011				
IJOGNDPK_00048	CDS	1011				hypothetical protein
IJOGNDPK_00049	gene	597	sigW_1			
IJOGNDPK_00049	CDS	597	sigW_1		COG1595	ECF RNA polymerase sigma factor SigW
IJOGNDPK_00050	gene	3465				
IJOGNDPK_00050	CDS	3465				TonB-dependent receptor P3
IJOGNDPK_00051	gene	1548				
IJOGNDPK_00051	CDS	1548				hypothetical protein
IJOGNDPK_00052	gene	1419				
IJOGNDPK_00052	CDS	1419		3.2.1.-		Glycosyl hydrolase family 109 protein 1
IJOGNDPK_00053	gene	2583	nagZ_1			
IJOGNDPK_00053	CDS	2583	nagZ_1	3.2.1.52		Beta-hexosaminidase
IJOGNDPK_00054	gene	1017	cpdA_1			
IJOGNDPK_00054	CDS	1017	cpdA_1	3.1.4.53		3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
IJOGNDPK_00055	gene	480	ispF			
IJOGNDPK_00055	CDS	480	ispF	4.6.1.12	COG0245	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
IJOGNDPK_00056	gene	618	ycgM			
IJOGNDPK_00056	CDS	618	ycgM		COG0179	putative protein YcgM
IJOGNDPK_00057	gene	657	rex			
IJOGNDPK_00057	CDS	657	rex		COG2344	Redox-sensing transcriptional repressor Rex
IJOGNDPK_00058	gene	429				
IJOGNDPK_00058	CDS	429				hypothetical protein
IJOGNDPK_00059	gene	993	tsf			
IJOGNDPK_00059	CDS	993	tsf		COG0264	Elongation factor Ts
IJOGNDPK_00060	gene	837	rpsB			
IJOGNDPK_00060	CDS	837	rpsB		COG0052	30S ribosomal protein S2
IJOGNDPK_00061	gene	387	rpsI			
IJOGNDPK_00061	CDS	387	rpsI		COG0103	30S ribosomal protein S9
IJOGNDPK_00062	gene	462	rplM			
IJOGNDPK_00062	CDS	462	rplM		COG0102	50S ribosomal protein L13
IJOGNDPK_00063	gene	195				
IJOGNDPK_00063	CDS	195				hypothetical protein
IJOGNDPK_00064	gene	528				
IJOGNDPK_00064	CDS	528				hypothetical protein
IJOGNDPK_00065	gene	1404	asnS_1			
IJOGNDPK_00065	CDS	1404	asnS_1	6.1.1.22	COG0017	Asparagine--tRNA ligase
IJOGNDPK_00066	gene	1485				
IJOGNDPK_00066	CDS	1485				hypothetical protein
IJOGNDPK_00067	gene	1347	purB			
IJOGNDPK_00067	CDS	1347	purB	4.3.2.2	COG0015	Adenylosuccinate lyase
IJOGNDPK_00068	gene	76				
IJOGNDPK_00068	tRNA	76				tRNA-Val(tac)
IJOGNDPK_00069	gene	78				
IJOGNDPK_00069	tRNA	78				tRNA-Val(tac)
IJOGNDPK_00070	gene	3294	carB_1			
IJOGNDPK_00070	CDS	3294	carB_1	6.3.5.5		Carbamoyl-phosphate synthase large chain
IJOGNDPK_00071	gene	117				
IJOGNDPK_00071	CDS	117				hypothetical protein
IJOGNDPK_00072	gene	903				
IJOGNDPK_00072	CDS	903				hypothetical protein
IJOGNDPK_00073	gene	3159				
IJOGNDPK_00073	CDS	3159				hypothetical protein
IJOGNDPK_00074	gene	2196				
IJOGNDPK_00074	CDS	2196				hypothetical protein
IJOGNDPK_00075	gene	1449				
IJOGNDPK_00075	CDS	1449				hypothetical protein
IJOGNDPK_00076	gene	969				
IJOGNDPK_00076	CDS	969				hypothetical protein
IJOGNDPK_00077	gene	1245				
IJOGNDPK_00077	CDS	1245				hypothetical protein
IJOGNDPK_00078	gene	1491				
IJOGNDPK_00078	CDS	1491				hypothetical protein
IJOGNDPK_00079	gene	576				
IJOGNDPK_00079	CDS	576				hypothetical protein
IJOGNDPK_00080	gene	195				
IJOGNDPK_00080	CDS	195				hypothetical protein
IJOGNDPK_00081	gene	630				
IJOGNDPK_00081	CDS	630				hypothetical protein
IJOGNDPK_00082	gene	1095	trpS2			
IJOGNDPK_00082	CDS	1095	trpS2	6.1.1.2	COG0180	Tryptophan--tRNA ligase 2
IJOGNDPK_00083	gene	1914	mutL			
IJOGNDPK_00083	CDS	1914	mutL			DNA mismatch repair protein MutL
IJOGNDPK_00084	gene	291				
IJOGNDPK_00084	CDS	291				hypothetical protein
IJOGNDPK_00085	gene	1674	lptD_1			
IJOGNDPK_00085	CDS	1674	lptD_1			LPS-assembly protein LptD
IJOGNDPK_00086	gene	1368	surA_1			
IJOGNDPK_00086	CDS	1368	surA_1	5.2.1.8	COG0760	Chaperone SurA
IJOGNDPK_00087	gene	849				
IJOGNDPK_00087	CDS	849				hypothetical protein
IJOGNDPK_00088	gene	1563	surA_2			
IJOGNDPK_00088	CDS	1563	surA_2	5.2.1.8		Chaperone SurA
IJOGNDPK_00089	gene	1476	guaB			
IJOGNDPK_00089	CDS	1476	guaB	1.1.1.205	COG0516	Inosine-5'-monophosphate dehydrogenase
IJOGNDPK_00090	gene	2184	recQ_1			
IJOGNDPK_00090	CDS	2184	recQ_1	3.6.4.12	COG0514	ATP-dependent DNA helicase RecQ
IJOGNDPK_00091	gene	1245	clpX			
IJOGNDPK_00091	CDS	1245	clpX		COG1219	ATP-dependent Clp protease ATP-binding subunit ClpX
IJOGNDPK_00092	gene	663	clpP			
IJOGNDPK_00092	CDS	663	clpP	3.4.21.92	COG0740	ATP-dependent Clp protease proteolytic subunit
IJOGNDPK_00093	gene	1356	tig			
IJOGNDPK_00093	CDS	1356	tig	5.2.1.8	COG0544	Trigger factor
IJOGNDPK_00094	gene	135				
IJOGNDPK_00094	CDS	135				hypothetical protein
IJOGNDPK_00095	gene	249				
IJOGNDPK_00095	CDS	249				hypothetical protein
IJOGNDPK_00096	gene	846	lptB			
IJOGNDPK_00096	CDS	846	lptB	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
IJOGNDPK_00097	gene	744	mlaE			
IJOGNDPK_00097	CDS	744	mlaE		COG0767	Intermembrane phospholipid transport system permease protein MlaE
IJOGNDPK_00098	gene	771	mkl			
IJOGNDPK_00098	CDS	771	mkl		COG1127	putative ribonucleotide transport ATP-binding protein mkl
IJOGNDPK_00099	gene	2322				
IJOGNDPK_00099	CDS	2322				hypothetical protein
IJOGNDPK_00100	gene	1314	der_1			
IJOGNDPK_00100	CDS	1314	der_1		COG1160	GTPase Der
IJOGNDPK_00101	gene	882	era			
IJOGNDPK_00101	CDS	882	era			GTPase Era
IJOGNDPK_00102	gene	1005	fabH_1			
IJOGNDPK_00102	CDS	1005	fabH_1	2.3.1.180	COG0332	3-oxoacyl-[acyl-carrier-protein] synthase 3
IJOGNDPK_00103	gene	186	rpmF			
IJOGNDPK_00103	CDS	186	rpmF			50S ribosomal protein L32
IJOGNDPK_00104	gene	576				
IJOGNDPK_00104	CDS	576				hypothetical protein
IJOGNDPK_00105	gene	306				
IJOGNDPK_00105	CDS	306				hypothetical protein
IJOGNDPK_00106	gene	106				
IJOGNDPK_00106	rRNA	106				5S ribosomal RNA
IJOGNDPK_00107	gene	2869				
IJOGNDPK_00107	rRNA	2869				23S ribosomal RNA
IJOGNDPK_00108	gene	75				
IJOGNDPK_00108	tRNA	75				tRNA-Ala(tgc)
IJOGNDPK_00109	gene	75				
IJOGNDPK_00109	tRNA	75				tRNA-Ile(gat)
IJOGNDPK_00110	gene	1523				
IJOGNDPK_00110	rRNA	1523				16S ribosomal RNA
IJOGNDPK_00111	gene	106				
IJOGNDPK_00111	rRNA	106				5S ribosomal RNA
IJOGNDPK_00112	gene	2869				
IJOGNDPK_00112	rRNA	2869				23S ribosomal RNA
IJOGNDPK_00113	gene	75				
IJOGNDPK_00113	tRNA	75				tRNA-Ala(tgc)
IJOGNDPK_00114	gene	75				
IJOGNDPK_00114	tRNA	75				tRNA-Ile(gat)
IJOGNDPK_00115	gene	1523				
IJOGNDPK_00115	rRNA	1523				16S ribosomal RNA
IJOGNDPK_00116	gene	219				
IJOGNDPK_00116	CDS	219				hypothetical protein
IJOGNDPK_00117	gene	756				
IJOGNDPK_00117	CDS	756			COG3039	IS5 family transposase ISAcma5
IJOGNDPK_00118	gene	1368	mepA_1			
IJOGNDPK_00118	CDS	1368	mepA_1		COG0534	Multidrug export protein MepA
IJOGNDPK_00119	gene	828				
IJOGNDPK_00119	CDS	828				hypothetical protein
IJOGNDPK_00120	gene	1671	nfdA			
IJOGNDPK_00120	CDS	1671	nfdA	3.5.1.91		N-substituted formamide deformylase
IJOGNDPK_00121	gene	1275	norR_1			
IJOGNDPK_00121	CDS	1275	norR_1			Anaerobic nitric oxide reductase transcription regulator NorR
IJOGNDPK_00122	gene	237				
IJOGNDPK_00122	CDS	237				hypothetical protein
IJOGNDPK_00123	gene	339				
IJOGNDPK_00123	CDS	339				hypothetical protein
IJOGNDPK_00124	gene	1239				
IJOGNDPK_00124	CDS	1239				hypothetical protein
IJOGNDPK_00125	gene	318				
IJOGNDPK_00125	CDS	318				hypothetical protein
IJOGNDPK_00126	gene	1503				
IJOGNDPK_00126	CDS	1503				hypothetical protein
IJOGNDPK_00127	gene	1227				
IJOGNDPK_00127	CDS	1227				hypothetical protein
IJOGNDPK_00128	gene	423				
IJOGNDPK_00128	CDS	423				hypothetical protein
IJOGNDPK_00129	gene	147				
IJOGNDPK_00129	CDS	147				hypothetical protein
IJOGNDPK_00130	gene	312				
IJOGNDPK_00130	CDS	312				hypothetical protein
IJOGNDPK_00131	gene	306				
IJOGNDPK_00131	CDS	306				hypothetical protein
IJOGNDPK_00132	gene	375				
IJOGNDPK_00132	CDS	375				hypothetical protein
IJOGNDPK_00133	gene	1221	xerC_1			
IJOGNDPK_00133	CDS	1221	xerC_1			Tyrosine recombinase XerC
IJOGNDPK_00134	gene	1230	xerC_2			
IJOGNDPK_00134	CDS	1230	xerC_2			Tyrosine recombinase XerC
IJOGNDPK_00135	gene	423	xerC_3			
IJOGNDPK_00135	CDS	423	xerC_3			Tyrosine recombinase XerC
IJOGNDPK_00136	gene	294				
IJOGNDPK_00136	CDS	294				hypothetical protein
IJOGNDPK_00137	gene	285				
IJOGNDPK_00137	CDS	285				hypothetical protein
IJOGNDPK_00138	gene	1341				
IJOGNDPK_00138	CDS	1341				hypothetical protein
IJOGNDPK_00139	gene	423				
IJOGNDPK_00139	CDS	423				hypothetical protein
IJOGNDPK_00140	gene	228				
IJOGNDPK_00140	CDS	228				hypothetical protein
IJOGNDPK_00141	gene	435				
IJOGNDPK_00141	CDS	435				hypothetical protein
IJOGNDPK_00142	gene	234				
IJOGNDPK_00142	CDS	234				hypothetical protein
IJOGNDPK_00143	gene	756				
IJOGNDPK_00143	CDS	756			COG3039	IS5 family transposase ISAcma5
IJOGNDPK_00144	gene	138				
IJOGNDPK_00144	CDS	138				hypothetical protein
IJOGNDPK_00145	gene	1359				
IJOGNDPK_00145	CDS	1359				hypothetical protein
IJOGNDPK_00146	gene	1716				
IJOGNDPK_00146	CDS	1716				hypothetical protein
IJOGNDPK_00147	gene	2979				
IJOGNDPK_00147	CDS	2979				TonB-dependent receptor P3
IJOGNDPK_00148	gene	1527				
IJOGNDPK_00148	CDS	1527				SusD-like protein P2
IJOGNDPK_00149	gene	1512				
IJOGNDPK_00149	CDS	1512				hypothetical protein
IJOGNDPK_00150	gene	1332				
IJOGNDPK_00150	CDS	1332				hypothetical protein
IJOGNDPK_00151	gene	345				
IJOGNDPK_00151	CDS	345				hypothetical protein
IJOGNDPK_00152	gene	309				
IJOGNDPK_00152	CDS	309				hypothetical protein
IJOGNDPK_00153	gene	1815	ruvB_1			
IJOGNDPK_00153	CDS	1815	ruvB_1	3.6.4.12		Holliday junction ATP-dependent DNA helicase RuvB
IJOGNDPK_00154	gene	171				
IJOGNDPK_00154	CDS	171				Ferredoxin
IJOGNDPK_00155	gene	1194				
IJOGNDPK_00155	CDS	1194		2.6.1.1		Aspartate/prephenate aminotransferase
IJOGNDPK_00156	gene	1215	ribBA			
IJOGNDPK_00156	CDS	1215	ribBA		COG0108	Riboflavin biosynthesis protein RibBA
IJOGNDPK_00157	gene	1902				
IJOGNDPK_00157	CDS	1902				hypothetical protein
IJOGNDPK_00158	gene	387				
IJOGNDPK_00158	CDS	387				hypothetical protein
IJOGNDPK_00159	gene	75				
IJOGNDPK_00159	tRNA	75				tRNA-Met(cat)
IJOGNDPK_00160	gene	3981	rcsC_1			
IJOGNDPK_00160	CDS	3981	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
IJOGNDPK_00161	gene	186				
IJOGNDPK_00161	CDS	186				hypothetical protein
IJOGNDPK_00162	gene	1170				
IJOGNDPK_00162	CDS	1170				hypothetical protein
IJOGNDPK_00163	gene	234				
IJOGNDPK_00163	CDS	234				hypothetical protein
IJOGNDPK_00164	gene	1839				
IJOGNDPK_00164	CDS	1839				hypothetical protein
IJOGNDPK_00165	gene	186				
IJOGNDPK_00165	CDS	186				hypothetical protein
IJOGNDPK_00166	gene	3189				
IJOGNDPK_00166	CDS	3189				TonB-dependent receptor P26
IJOGNDPK_00167	gene	1719				
IJOGNDPK_00167	CDS	1719				hypothetical protein
IJOGNDPK_00168	gene	1272				
IJOGNDPK_00168	CDS	1272		3.2.1.-		Unsaturated glucuronyl hydrolase
IJOGNDPK_00169	gene	1266				
IJOGNDPK_00169	CDS	1266				hypothetical protein
IJOGNDPK_00170	gene	780				
IJOGNDPK_00170	CDS	780				hypothetical protein
IJOGNDPK_00171	gene	1188	bfce_1			
IJOGNDPK_00171	CDS	1188	bfce_1	5.1.3.11	COG2942	Cellobiose 2-epimerase
IJOGNDPK_00172	gene	1395	yagG			
IJOGNDPK_00172	CDS	1395	yagG		COG2211	Putative glycoside/cation symporter YagG
IJOGNDPK_00173	gene	1176				
IJOGNDPK_00173	CDS	1176		2.4.1.281	COG2152	4-O-beta-D-mannosyl-D-glucose phosphorylase
IJOGNDPK_00174	gene	1095	manA_1			
IJOGNDPK_00174	CDS	1095	manA_1	3.2.1.78	COG4124	Mannan endo-1,4-beta-mannosidase
IJOGNDPK_00175	gene	1461				
IJOGNDPK_00175	CDS	1461				hypothetical protein
IJOGNDPK_00176	gene	1767				
IJOGNDPK_00176	CDS	1767				hypothetical protein
IJOGNDPK_00177	gene	1476				
IJOGNDPK_00177	CDS	1476				hypothetical protein
IJOGNDPK_00178	gene	1452				
IJOGNDPK_00178	CDS	1452				hypothetical protein
IJOGNDPK_00179	gene	615				
IJOGNDPK_00179	CDS	615				hypothetical protein
IJOGNDPK_00180	gene	1128	rutC_1			
IJOGNDPK_00180	CDS	1128	rutC_1	1.-.-.-		Putative aminoacrylate peracid reductase RutC
IJOGNDPK_00181	gene	1554				
IJOGNDPK_00181	CDS	1554				hypothetical protein
IJOGNDPK_00182	gene	1380				
IJOGNDPK_00182	CDS	1380				hypothetical protein
IJOGNDPK_00183	gene	642				
IJOGNDPK_00183	CDS	642				hypothetical protein
IJOGNDPK_00184	gene	405				
IJOGNDPK_00184	CDS	405				hypothetical protein
IJOGNDPK_00185	gene	837				
IJOGNDPK_00185	CDS	837				hypothetical protein
IJOGNDPK_00186	gene	1770				
IJOGNDPK_00186	CDS	1770				SusD-like protein P38
IJOGNDPK_00187	gene	3249	susC_1			
IJOGNDPK_00187	CDS	3249	susC_1			TonB-dependent receptor SusC
IJOGNDPK_00188	gene	972	eglS			
IJOGNDPK_00188	CDS	972	eglS	3.2.1.4	COG2730	Endoglucanase
IJOGNDPK_00189	gene	1293				
IJOGNDPK_00189	CDS	1293				hypothetical protein
IJOGNDPK_00190	gene	1284	axe7A			
IJOGNDPK_00190	CDS	1284	axe7A	3.1.1.-	COG3458	Acetyl esterase Axe7A
IJOGNDPK_00191	gene	888	rhaS_1			
IJOGNDPK_00191	CDS	888	rhaS_1			HTH-type transcriptional activator RhaS
IJOGNDPK_00192	gene	2448				
IJOGNDPK_00192	CDS	2448		3.2.1.23	COG3250	Beta-galactosidase BoGH2A
IJOGNDPK_00193	gene	2487	cbpA			
IJOGNDPK_00193	CDS	2487	cbpA	2.4.1.20	COG3459	Cellobiose phosphorylase
IJOGNDPK_00194	gene	1005	gpr			
IJOGNDPK_00194	CDS	1005	gpr	1.1.1.-	COG0667	L-glyceraldehyde 3-phosphate reductase
IJOGNDPK_00195	gene	2016				
IJOGNDPK_00195	CDS	2016		3.2.1.22		Retaining alpha-galactosidase
IJOGNDPK_00196	gene	639				
IJOGNDPK_00196	CDS	639				hypothetical protein
IJOGNDPK_00197	gene	630				
IJOGNDPK_00197	CDS	630				hypothetical protein
IJOGNDPK_00198	gene	3036	yfeW_1			
IJOGNDPK_00198	CDS	3036	yfeW_1	3.4.16.4		Putative D-alanyl-D-alanine carboxypeptidase
IJOGNDPK_00199	gene	3015	yfeW_2			
IJOGNDPK_00199	CDS	3015	yfeW_2	3.4.16.4		Putative D-alanyl-D-alanine carboxypeptidase
IJOGNDPK_00200	gene	918	yfkN_1			
IJOGNDPK_00200	CDS	918	yfkN_1		COG0737	Trifunctional nucleotide phosphoesterase protein YfkN
IJOGNDPK_00201	gene	771				
IJOGNDPK_00201	CDS	771				hypothetical protein
IJOGNDPK_00202	gene	366				
IJOGNDPK_00202	CDS	366				hypothetical protein
IJOGNDPK_00203	gene	570				
IJOGNDPK_00203	CDS	570				hypothetical protein
IJOGNDPK_00204	gene	300				
IJOGNDPK_00204	CDS	300				hypothetical protein
IJOGNDPK_00205	gene	333				
IJOGNDPK_00205	CDS	333				hypothetical protein
IJOGNDPK_00206	gene	177				
IJOGNDPK_00206	CDS	177				hypothetical protein
IJOGNDPK_00207	gene	354	rplS			
IJOGNDPK_00207	CDS	354	rplS			50S ribosomal protein L19
IJOGNDPK_00208	gene	981	glcK			
IJOGNDPK_00208	CDS	981	glcK	2.7.1.2	COG1940	Glucokinase
IJOGNDPK_00209	gene	717	yknY_1			
IJOGNDPK_00209	CDS	717	yknY_1	3.6.3.-	COG1136	putative ABC transporter ATP-binding protein YknY
IJOGNDPK_00210	gene	1260	macB_1			
IJOGNDPK_00210	CDS	1260	macB_1	3.6.3.-		Macrolide export ATP-binding/permease protein MacB
IJOGNDPK_00211	gene	1242	macB_2			
IJOGNDPK_00211	CDS	1242	macB_2	3.6.3.-		Macrolide export ATP-binding/permease protein MacB
IJOGNDPK_00212	gene	1104	macA_1			
IJOGNDPK_00212	CDS	1104	macA_1		COG0845	Macrolide export protein MacA
IJOGNDPK_00213	gene	1329	oprJ			
IJOGNDPK_00213	CDS	1329	oprJ		COG1538	Outer membrane protein OprJ
IJOGNDPK_00214	gene	924				
IJOGNDPK_00214	CDS	924				hypothetical protein
IJOGNDPK_00215	gene	690				
IJOGNDPK_00215	CDS	690				hypothetical protein
IJOGNDPK_00216	gene	837	cvfB			
IJOGNDPK_00216	CDS	837	cvfB			Conserved virulence factor B
IJOGNDPK_00217	gene	1002	mdh_2			
IJOGNDPK_00217	CDS	1002	mdh_2	1.1.1.37		Malate dehydrogenase
IJOGNDPK_00218	gene	74				
IJOGNDPK_00218	tRNA	74				tRNA-Phe(gaa)
IJOGNDPK_00219	gene	74				
IJOGNDPK_00219	tRNA	74				tRNA-Pro(cgg)
IJOGNDPK_00220	gene	510				
IJOGNDPK_00220	CDS	510				hypothetical protein
IJOGNDPK_00221	gene	474	argR			
IJOGNDPK_00221	CDS	474	argR			Arginine repressor
IJOGNDPK_00222	gene	558				
IJOGNDPK_00222	CDS	558				hypothetical protein
IJOGNDPK_00223	gene	1212	argG			
IJOGNDPK_00223	CDS	1212	argG	6.3.4.5		Argininosuccinate synthase
IJOGNDPK_00224	gene	969	argC			
IJOGNDPK_00224	CDS	969	argC	1.2.1.38	COG0002	N-acetyl-gamma-glutamyl-phosphate reductase
IJOGNDPK_00225	gene	1122	lysJ			
IJOGNDPK_00225	CDS	1122	lysJ	2.6.1.-	COG4992	[LysW]-aminoadipate semialdehyde transaminase
IJOGNDPK_00226	gene	774	proC_1			
IJOGNDPK_00226	CDS	774	proC_1	1.5.1.2	COG0345	Pyrroline-5-carboxylate reductase
IJOGNDPK_00227	gene	555				
IJOGNDPK_00227	CDS	555				hypothetical protein
IJOGNDPK_00228	gene	1656	acsA			
IJOGNDPK_00228	CDS	1656	acsA	6.2.1.1	COG0365	Acetyl-coenzyme A synthetase
IJOGNDPK_00229	gene	1239				
IJOGNDPK_00229	CDS	1239				hypothetical protein
IJOGNDPK_00230	gene	324				
IJOGNDPK_00230	CDS	324				hypothetical protein
IJOGNDPK_00231	gene	315				
IJOGNDPK_00231	CDS	315				hypothetical protein
IJOGNDPK_00232	gene	195				
IJOGNDPK_00232	CDS	195				hypothetical protein
IJOGNDPK_00233	gene	948				
IJOGNDPK_00233	CDS	948				hypothetical protein
IJOGNDPK_00234	gene	1197				
IJOGNDPK_00234	CDS	1197				hypothetical protein
IJOGNDPK_00235	gene	426				
IJOGNDPK_00235	CDS	426				hypothetical protein
IJOGNDPK_00236	gene	1620				
IJOGNDPK_00236	CDS	1620				hypothetical protein
IJOGNDPK_00237	gene	606				
IJOGNDPK_00237	CDS	606				hypothetical protein
IJOGNDPK_00238	gene	792				
IJOGNDPK_00238	CDS	792				hypothetical protein
IJOGNDPK_00239	gene	588	xerC_4			
IJOGNDPK_00239	CDS	588	xerC_4			Tyrosine recombinase XerC
IJOGNDPK_00240	gene	333				
IJOGNDPK_00240	CDS	333				hypothetical protein
IJOGNDPK_00241	gene	306				
IJOGNDPK_00241	CDS	306				hypothetical protein
IJOGNDPK_00242	gene	240				
IJOGNDPK_00242	CDS	240				hypothetical protein
IJOGNDPK_00243	gene	1149				
IJOGNDPK_00243	CDS	1149				hypothetical protein
IJOGNDPK_00244	gene	1026				
IJOGNDPK_00244	CDS	1026				hypothetical protein
IJOGNDPK_00245	gene	162				
IJOGNDPK_00245	CDS	162				hypothetical protein
IJOGNDPK_00246	gene	85				
IJOGNDPK_00246	tRNA	85				tRNA-Leu(taa)
IJOGNDPK_00247	gene	74				
IJOGNDPK_00247	tRNA	74				tRNA-Gly(gcc)
IJOGNDPK_00248	gene	1341	argH			
IJOGNDPK_00248	CDS	1341	argH	4.3.2.1	COG0165	Argininosuccinate lyase
IJOGNDPK_00249	gene	411				
IJOGNDPK_00249	CDS	411				hypothetical protein
IJOGNDPK_00250	gene	639	pyrE			
IJOGNDPK_00250	CDS	639	pyrE	2.4.2.10	COG0461	Orotate phosphoribosyltransferase
IJOGNDPK_00251	gene	477	recX			
IJOGNDPK_00251	CDS	477	recX			Regulatory protein RecX
IJOGNDPK_00252	gene	843	prmC			
IJOGNDPK_00252	CDS	843	prmC	2.1.1.297		Release factor glutamine methyltransferase
IJOGNDPK_00253	gene	1053	ribD			
IJOGNDPK_00253	CDS	1053	ribD		COG0117	Riboflavin biosynthesis protein RibD
IJOGNDPK_00254	gene	1365				
IJOGNDPK_00254	CDS	1365				hypothetical protein
IJOGNDPK_00255	gene	735	ispU			
